Quality,Angle,Distance,Time
14,254.21875,2653,1.81983
17,320.171875,1995.75,1.820127
18,321.78125,2069.5,1.820267
15,323.640625,2157.75,1.82039
15,325.28125,2251.25,1.820512
16,326.890625,2360.75,1.820634
15,328.484375,2477.75,1.820757
14,330.09375,2611.75,1.820878
12,331.734375,2760.25,1.820997
12,333.328125,2924,1.821121
10,334.96875,3122.25,1.821241
9,338.1875,3604.75,1.821362
16,339.828125,3666.5,1.821482
16,341.46875,3620.25,1.821603
18,343.109375,3600,1.821722
19,344.765625,3563,1.821842
20,346.5625,3545.75,1.821961
19,348.203125,3534.5,1.82214
19,349.859375,3521,1.822292
19,351.515625,3512.25,1.886594
19,353.15625,3491,1.886757
21,354.828125,3490.25,1.886824
20,356.46875,3484,1.886886
21,358.140625,3486.25,1.886948
21,359.765625,3483,1.887009
20,1.4375,3485.25,1.887069
21,3.09375,3508.75,1.88713
20,4.734375,3515.25,1.887189
20,6.390625,3522.25,1.887248
18,8.03125,3537,1.887307
20,9.671875,3551.25,1.887366
19,11.40625,3568.5,1.887425
17,13.078125,3604.25,1.887485
18,14.734375,3628.25,1.887545
16,16.375,3680,1.887606
10,18.0625,3480,1.887664
9,19.734375,3257.5,1.887724
12,21.453125,3021.5,1.887784
12,23.125,2840.75,1.887843
14,24.8125,2673,1.887903
12,26.515625,2522.25,1.887962
16,28.1875,2395.5,1.88809
15,29.875,2276.5,1.888152
16,31.578125,2172.5,1.888212
17,33.265625,2076.5,1.888272
18,35.0625,1999.25,1.888332
18,36.75,1923.75,1.888391
21,38.453125,1856.5,1.888451
21,40.15625,1797,1.888511
21,41.875,1740,1.888571
24,43.515625,1693.25,1.88863
18,45.203125,1644.25,1.88869
25,46.90625,1601,1.888749
21,48.578125,1568.5,1.888808
23,50.296875,1528.75,1.888868
25,51.96875,1492,1.888928
23,53.625,1468.5,1.888988
25,55.375,1433.5,1.889046
28,57.046875,1408,1.889105
29,58.671875,1386.25,1.889165
25,60.359375,1366.25,1.889225
26,62.078125,1343.75,1.889285
28,63.796875,1324.75,1.889344
27,65.4375,1308.25,1.889404
28,67.078125,1296.5,1.889463
23,68.828125,1278.5,1.889523
29,70.53125,1268.75,1.889583
29,72.171875,1255.75,1.889642
29,73.828125,1246.25,1.889702
29,75.53125,1237.75,1.889762
30,77.21875,1229.5,1.889821
29,78.890625,1224.25,1.889881
31,80.546875,1218.25,1.889941
32,82.171875,1216.25,1.890002
32,84,1212.25,1.890062
31,85.640625,1210.25,1.89012
32,87.40625,1209,1.89018
32,89.046875,1210.75,1.890238
32,90.6875,1209.75,1.890298
32,92.390625,1212,1.890358
32,94.109375,1214.5,1.890417
10,95.9375,1045,1.890476
11,97.875,842.5,1.890535
10,99.890625,706.75,1.890594
12,102.0625,610.25,1.890654
12,104.03125,532.25,1.890713
12,105.859375,474.5,1.890773
13,108.125,426.5,1.890832
14,110.046875,387.25,1.890891
15,111.84375,356.25,1.890951
16,114.21875,329,1.89101
16,116.25,307,1.891069
15,118.046875,288.25,1.891126
17,119.796875,272.25,1.891186
18,122.96875,258.25,1.891246
18,125.59375,246,1.891305
18,125.53125,235,1.891365
20,128,225.25,1.891423
18,129.53125,216.5,1.891482
21,131.34375,208.75,1.891541
20,134.09375,201.5,1.8916
21,135.265625,195.25,1.891659
23,137.4375,189.5,1.891719
21,139.203125,184.25,1.891778
20,140.875,179.75,1.891838
21,142.5625,175,1.891896
22,144.734375,171.25,1.891955
22,146.421875,167.5,1.892015
21,148.09375,164.5,1.892075
21,149.796875,161.25,1.892145
21,151.453125,158.75,1.892206
23,153.140625,156.5,1.892267
21,154.828125,154,1.892326
21,156.5,152.25,1.892386
23,158.171875,150.75,1.892444
23,160.734375,149.25,1.892503
19,161.53125,147.75,1.892562
23,163.40625,146.5,1.892622
25,165.921875,145.5,1.89269
26,166.78125,144.5,1.89275
24,168.484375,144,1.892808
21,170.15625,143.5,1.892868
25,171.859375,142.75,1.892927
21,173.546875,142.5,1.892987
19,176.1875,142.5,1.893047
18,178.1875,142.5,1.893106
20,178.625,142.5,1.893164
21,180.3125,142.75,1.893223
26,182,143,1.893283
23,183.703125,143.5,1.89334
24,185.390625,144.25,1.8934
25,187.078125,145,1.893459
22,188.515625,146,1.893518
22,190.453125,146.75,1.893578
19,192.15625,147.75,1.893637
22,193.84375,149,1.893696
23,195.53125,150.5,1.893755
22,197.21875,152,1.893814
22,198.921875,153.75,1.893873
19,200.609375,155.5,1.893933
21,202.296875,157.5,1.893992
22,203.984375,159.75,1.894052
22,205.6875,162,1.894111
21,207.375,164.5,1.89417
22,209.0625,167.25,1.894228
21,210.875,170,1.894287
19,212.078125,173.25,1.894346
19,213.78125,176.75,1.894406
19,215.484375,180.25,1.894465
17,217.1875,184.25,1.894525
19,218.875,188.5,1.894584
20,220.578125,192.75,1.894643
19,222.28125,197.5,1.894703
17,223.96875,203,1.894761
19,224.890625,208.75,1.89482
20,226.15625,214.5,1.89488
17,229.078125,221,1.894939
16,229.515625,228.25,1.894997
17,230.96875,236,1.895057
17,234.15625,244.25,1.895116
13,233.75,254,1.895175
16,235.140625,264,1.895234
16,236.625,274.75,1.895293
16,238.78125,287,1.895443
15,240.078125,301.5,1.895523
15,241.203125,316.5,1.895584
15,242.5,333.75,1.895646
13,244.03125,353,1.895704
13,245.515625,376.75,1.895764
11,249.9375,467.5,1.895824
12,251.46875,510.75,1.895884
10,252.90625,561,1.895943
9,257.171875,780,1.896003
9,258.65625,899.5,1.896062
10,260.09375,1063.75,1.896125
31,261.640625,1220.75,1.896185
32,263.34375,1219.75,1.896245
32,265.015625,1214.75,1.896305
32,266.71875,1214,1.896365
31,268.375,1213.75,1.896425
32,270.140625,1216.75,1.896485
32,271.828125,1217,1.896545
31,273.484375,1220.75,1.896604
29,275.34375,1225.25,1.896664
28,277.046875,1229.75,1.896724
29,278.734375,1234.75,1.896784
30,280.375,1243,1.896845
30,282.140625,1254,1.896904
29,283.796875,1262.5,1.896964
24,285.484375,1276,1.897024
29,287.203125,1288,1.897085
29,288.859375,1306,1.897144
28,290.5625,1319.5,1.897243
27,292.328125,1334.25,1.897304
26,293.984375,1356,1.897364
25,295.703125,1374.25,1.897424
30,297.40625,1396.5,1.897484
25,299.078125,1419.75,1.897563
24,300.6875,1450.25,1.897624
28,302.390625,1478,1.897683
24,304.046875,1509.75,1.897743
24,305.765625,1543,1.897803
24,307.390625,1583.25,1.897863
24,309.109375,1616,1.897923
23,310.796875,1663,1.897983
23,312.453125,1710,1.898042
20,314.140625,1761.5,1.898102
21,315.796875,1818.75,1.898162
21,317.515625,1876.5,1.898222
20,319.171875,1947.25,1.898282
18,320.84375,2024,1.898342
17,322.765625,2102.5,1.898401
17,324.40625,2206.75,1.898461
17,326.109375,2311.25,1.89852
15,327.828125,2430.75,1.898581
15,329.5,2568.25,1.89864
14,331.171875,2714,1.898699
12,332.859375,2875,1.898758
11,334.59375,3069.5,1.898817
9,337.96875,3558.75,1.898877
16,339.65625,3670.25,1.898937
17,341.390625,3625.75,1.898997
19,343.109375,3599.25,1.899057
20,344.828125,3565.5,1.899117
20,346.65625,3547,1.899177
19,348.40625,3528,1.899236
19,350.109375,3520.5,1.938876
21,351.84375,3511.25,1.939041
20,353.5625,3489.25,1.939112
20,355.296875,3493.25,1.939174
21,357.046875,3490.25,1.939235
21,358.765625,3485.75,1.939296
20,0.484375,3489.25,1.939358
20,2.21875,3490.25,1.939418
21,3.921875,3511.25,1.939479
19,5.65625,3516.5,1.939538
19,7.375,3531.75,1.939597
20,9.109375,3545.25,1.939655
20,10.90625,3566.75,1.939714
19,12.625,3597,1.939774
18,14.375,3625.75,1.939833
16,16.078125,3674.25,1.939893
10,17.828125,3523.5,1.939953
10,19.59375,3276,1.940301
12,21.359375,3030.25,1.94037
13,23.109375,2834,1.940432
14,24.890625,2669,1.940492
13,26.671875,2514.25,1.940553
16,28.40625,2382.25,1.940614
15,30.203125,2254,1.940675
16,31.9375,2155.5,1.940735
18,33.6875,2063.25,1.940795
19,35.578125,1974.75,1.940856
20,37.3125,1899.25,1.94092
21,39.078125,1836.25,1.94098
19,40.859375,1774.25,1.94104
22,42.625,1714.5,1.9411
24,44.359375,1673.5,1.941158
25,46.140625,1616.5,1.941217
24,47.921875,1581.25,1.941277
23,49.6875,1541.25,1.941338
23,51.40625,1504,1.941398
23,53.1875,1475.25,1.941458
25,54.921875,1443,1.941517
26,56.71875,1413.25,1.941577
30,58.453125,1390.75,1.941638
26,60.234375,1367.75,1.941697
25,62,1345.25,1.941758
28,63.6875,1325.5,1.941817
27,65.484375,1308.25,1.941878
28,67.1875,1296,1.941939
23,68.96875,1278,1.941998
29,70.703125,1264,1.942058
29,72.484375,1251.25,1.942118
29,74.203125,1245.5,1.942178
30,75.96875,1236.75,1.942237
28,77.734375,1226.5,1.942297
31,79.4375,1221.5,1.942357
31,81.203125,1218,1.942417
32,82.890625,1212.75,1.942477
31,84.78125,1209.5,1.942538
32,86.578125,1208.25,1.942598
32,88.296875,1209,1.942657
32,90,1209.25,1.942717
32,91.734375,1212.25,1.942775
31,93.484375,1214,1.942835
11,95.296875,1130.75,1.942894
12,97.453125,885.75,1.942954
11,99.5,736.75,1.943014
11,101.703125,621.5,1.943073
12,103.796875,540.75,1.943135
12,105.8125,477.25,1.943195
13,107.875,428.75,1.943255
14,110.109375,387.25,1.943314
14,112.015625,354.75,1.943373
16,114.390625,326.25,1.943433
16,116.171875,304.75,1.943492
15,118.921875,285.25,1.943552
17,120.25,269,1.943611
18,122.578125,254.75,1.943669
18,126.1875,242.25,1.943728
19,126.328125,232,1.943788
19,129.671875,221.75,1.943848
21,131.421875,212.75,1.943908
21,133.15625,205.25,1.943967
20,134.90625,198,1.944027
20,136.640625,192,1.944086
17,138.453125,186.25,1.944145
21,140.203125,181.25,1.944206
22,141.953125,177,1.944265
21,143.703125,172.5,1.944325
23,145.9375,168.75,1.944384
22,147.6875,165.25,1.944443
22,149.4375,162.25,1.944502
20,151.1875,159.5,1.944562
24,152.9375,156.5,1.944621
24,154.6875,154.25,1.944681
22,156.828125,152.5,1.94474
23,158.171875,150.75,1.9448
24,159.921875,149,1.944859
25,161.671875,147.5,1.944918
23,163.328125,146.5,1.944977
26,165.75,145.25,1.945036
24,167.09375,144.5,1.945095
24,168.84375,143.75,1.945154
25,170.59375,143.25,1.945214
22,172.359375,142.75,1.945273
19,174.6875,142.5,1.945333
19,175.875,142.25,1.945392
19,177.640625,142.25,1.94545
22,179.390625,142.5,1.945509
26,181.140625,143,1.945569
24,182.90625,143.25,1.945629
24,185.796875,144,1.945688
25,186.421875,144.5,1.945748
24,189.03125,145.5,1.945807
24,189.921875,146.25,1.945866
23,191.671875,147.5,1.945926
22,193.4375,148.75,1.945985
25,195.1875,150,1.946044
22,196.9375,151.75,1.946102
23,198.6875,153.5,1.946162
20,200.453125,155.25,1.946252
23,202.203125,157.25,1.946445
21,203.96875,159.5,1.946542
23,205.71875,161.75,1.946624
22,207.484375,164.5,1.946685
21,209.21875,167.5,1.946748
20,211.09375,170.25,1.946808
19,212.34375,173.75,1.946914
17,214.109375,177.25,1.946978
19,215.875,181.25,1.947038
19,217.640625,185.5,1.947097
20,219.40625,189.5,1.947158
18,220.671875,194.75,1.947219
17,222.9375,199.5,1.947279
17,224.6875,205,1.947338
19,226.453125,211,1.947397
18,228.21875,217.75,1.947456
16,229.96875,225,1.947516
18,230.046875,232.5,1.947576
16,232.515625,241,1.947635
16,234.015625,250.25,1.947695
17,235.015625,260.25,1.947755
16,236.375,271,1.947815
16,237.859375,284.25,1.947873
14,240.015625,297.75,1.947933
14,241.03125,313,1.947992
12,242.5,331,1.948051
14,243.859375,350.75,1.948109
12,245.390625,374,1.94817
11,247.171875,401.25,1.948229
11,248.4375,432,1.948289
11,249.984375,467.5,1.948348
11,251.5,512,1.948407
10,253.078125,564.75,1.948492
9,260.5,1108.75,1.948565
32,262.109375,1218.5,1.948627
32,263.921875,1217.25,1.948687
32,265.703125,1214.75,1.948748
32,267.453125,1213.5,1.948809
32,269.1875,1213.75,1.94887
32,270.953125,1214.75,1.94893
32,272.71875,1217.25,1.948991
32,274.515625,1222.5,1.949051
30,276.265625,1226.25,1.949113
30,278.09375,1233.5,1.949174
29,279.859375,1242,1.949234
29,281.625,1248,1.949295
29,283.390625,1260.25,1.949354
24,285.0625,1271.25,1.949414
29,286.90625,1286.25,1.949474
29,288.59375,1299.25,1.949536
29,290.40625,1318.25,1.949596
28,292.125,1333.5,1.949657
25,293.921875,1353.75,1.949717
25,295.640625,1373.75,1.949778
31,297.359375,1396.5,1.949838
26,299.0625,1423.75,1.949899
24,300.796875,1451.25,1.949959
29,302.546875,1478.75,1.950019
23,304.296875,1514,1.950079
23,306.015625,1549.75,1.950139
