Time,PosX,PosY,PosA,"PosCov[0,0]","PosCov[0,1]","PosCov[0,2]","PosCov[1,0]","PosCov[1,1]","PosCov[1,2]","PosCov[2,0]","PosCov[2,1]","PosCov[2,2]"
1,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.01,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.02,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.03,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.04,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.05,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.06,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.07,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.08,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.09,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.1,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.11,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.12,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.13,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.14,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.15,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.16,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.17,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.18,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.19,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.2,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.21,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.22,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.23,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.24,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.25,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.26,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.27,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.28,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.29,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
